City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Mitsamiouli,KM,79.88,light rain,-11.3847,43.2844,Foyer ADM
95,Souillac,MU,79.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Alyangula,AU,83.77,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
100,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Mancora,PE,84.85,broken clouds,-4.1078,-81.0475,Máncora Marina Hotel
102,Piacabucu,BR,85.28,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
105,Alofi,NU,81.23,light rain,-19.0595,-169.9187,Taloa Heights
112,Samarai,PG,81.52,overcast clouds,-10.6167,150.6667,Nuli Sapi
118,Miri,MY,76.96,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
119,Saldanha,ZA,80.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
121,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
122,Daru,PG,78.39,overcast clouds,-9.0763,143.2092,Daru Lodge
128,Cabedelo,BR,85.82,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
135,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
139,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
142,Arraial Do Cabo,BR,79.77,clear sky,-22.9661,-42.0278,Pousada Porto Praia
145,Mamallapuram,IN,82.06,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
154,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
167,Salinopolis,BR,79.41,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
168,San Rafael,AR,75.33,clear sky,-34.6177,-68.3301,Hotel San Rafael
171,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
186,Saint-Georges,GD,78.93,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
189,Sarangani,PH,82.31,broken clouds,5.4033,125.4636,Ballistic Islet
190,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
194,Porto Seguro,BR,82.92,light rain,-16.4497,-39.0647,Porto Cálem Praia Hotel
195,Tingo Maria,PE,84.09,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
198,Maningrida,AU,80.19,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
201,Mvomero,TZ,78.67,broken clouds,-6.25,38.6667,Kisampa Bush Retreat
202,Castro,BR,75.38,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
205,Acapulco,MX,82.67,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,San Cristobal,VE,80.33,scattered clouds,7.7669,-72.225,Pirineos
215,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
217,Bilma,NE,82.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
218,Puerto Carreno,CO,88.68,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
220,Harindanga,IN,76.06,broken clouds,22.0383,88.3214,Hazi Home
223,Phalaborwa,ZA,82.27,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
232,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
234,East London,ZA,75.78,few clouds,-33.0153,27.9116,Tu Casa
238,Buenos Aires,AR,78.94,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
240,Ambilobe,MG,75.54,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
248,Villa Carlos Paz,AR,75.4,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
252,Manono,CD,75.16,overcast clouds,-7.3,27.4167,Hotel hewa bora
254,Hambantota,LK,79.45,few clouds,6.1241,81.1185,Bungalow 63
257,Faanui,PF,80.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Jiwani,PK,75.42,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
260,Trairi,BR,85.28,overcast clouds,-3.2778,-39.2689,janelas do mar
264,Porto Novo,BJ,86.59,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
266,Fare,PF,80.73,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
267,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
275,Lazaro Cardenas,MX,80.94,clear sky,17.9583,-102.2,quinta antigua
276,Malabo,GQ,81.59,overcast clouds,3.75,8.7833,Magno Suites
278,Tha Chang,TH,77.86,overcast clouds,9.2642,99.1922,สุริยาค้าไม้
294,Caravelas,BR,82.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Cockburn Town,TC,77.92,clear sky,21.4612,-71.1419,Osprey Beach Hotel
301,Grand Baie,MU,79.45,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
304,Whithorn,JM,81.66,clear sky,18.2604,-78.0378,Sunset Heal
308,Kankon,IN,79.25,clear sky,15.0167,74.0167,Palolem Beach Resort
311,Cairns,AU,80.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
318,Katobu,ID,76.37,scattered clouds,-4.9408,122.5276,La Ode Husein
321,Padang,ID,77.97,moderate rain,-0.9492,100.3543,Mercure Padang
323,Bambanglipuro,ID,77.23,overcast clouds,-7.95,110.2833,Puri Brata
324,Kanniyakumari,IN,80.19,clear sky,8.0833,77.5667,Sparsa Kanyakumari
326,Harper,LR,84.49,overcast clouds,4.375,-7.7169,Screensaver
328,Tabou,CI,84.56,broken clouds,4.423,-7.3528,hotêl doufoulougou
329,Buraydah,SA,87.66,overcast clouds,26.326,43.975,Mövenpick Qassim
