City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
18,Hithadhoo,MV,2022-03-10 16:56:15,-0.6,73.0833,82.76,61,9,5.12,clear sky
19,Kampene,CD,2022-03-10 16:58:42,-3.6,26.6667,76.66,77,97,1.86,overcast clouds
20,Santo Domingo,DO,2022-03-10 16:55:55,18.5001,-69.9886,85.68,70,40,11.5,scattered clouds
21,Port Elizabeth,ZA,2022-03-10 16:52:23,-33.918,25.5701,75.49,73,0,5.75,clear sky
22,Barrow,US,2022-03-10 16:48:55,71.2906,-156.7887,-14.78,76,0,6.91,clear sky
23,Svetlaya,RU,2022-03-10 16:52:09,46.5389,138.3297,32.7,90,100,4.5,light snow
24,Cidreira,BR,2022-03-10 16:56:11,-30.1811,-50.2056,79.95,76,99,12.12,overcast clouds
25,Coihaique,CL,2022-03-10 16:58:44,-45.5752,-72.0662,64.35,55,40,5.75,scattered clouds
26,Busselton,AU,2022-03-10 16:49:06,-33.65,115.3333,71.62,51,40,10.65,scattered clouds
27,Rikitea,PF,2022-03-10 16:48:59,-23.1203,-134.9692,78.46,70,74,6.87,broken clouds
28,Joaima,BR,2022-03-10 16:58:44,-16.6542,-41.0306,85.82,55,66,7.02,broken clouds
29,Georgetown,MY,2022-03-10 16:48:46,5.4112,100.3354,82.35,88,20,2.3,few clouds
30,Isangel,VU,2022-03-10 16:54:48,-19.55,169.2667,77.92,80,100,5.32,overcast clouds
31,Bredasdorp,ZA,2022-03-10 16:52:18,-34.5322,20.0403,72.72,60,6,12.66,clear sky
32,Lebu,CL,2022-03-10 16:52:25,-37.6167,-73.65,61.14,69,1,22.39,clear sky
33,Upernavik,GL,2022-03-10 16:51:03,72.7868,-56.1549,-2.22,88,100,7.83,overcast clouds
34,Mataura,NZ,2022-03-10 16:48:58,-46.1927,168.8643,59.49,91,66,3.71,broken clouds
35,Impfondo,CG,2022-03-10 16:56:15,1.6381,18.0667,76.96,74,100,6.31,overcast clouds
36,Sokoni,TZ,2022-03-10 16:58:47,-6.4333,39.55,84.06,73,87,12.91,overcast clouds
37,Severo-Kurilsk,RU,2022-03-10 16:50:59,50.6789,156.125,29.08,94,100,18.59,light snow
38,Hasaki,JP,2022-03-10 16:52:11,35.7333,140.8333,43.2,63,31,7.34,scattered clouds
39,Yellowknife,CA,2022-03-10 16:50:53,62.456,-114.3525,-14.71,69,0,10.36,clear sky
40,Aklavik,CA,2022-03-10 16:58:48,68.2191,-135.0107,-16.6,76,75,2.3,broken clouds
41,Ishinomaki,JP,2022-03-10 16:58:48,38.4167,141.3,40.75,84,5,6.24,clear sky
42,Carauari,BR,2022-03-10 16:58:49,-4.8828,-66.8958,87.24,60,84,3.83,broken clouds
43,Butaritari,KI,2022-03-10 16:53:29,3.0707,172.7902,80.6,81,96,14.25,light rain
44,Tucumcari,US,2022-03-10 16:59:50,35.1717,-103.725,29.68,45,15,9.75,few clouds
45,Chokurdakh,RU,2022-03-10 16:59:50,70.6333,147.9167,-7.35,98,100,1.23,overcast clouds
46,Fasa,IR,2022-03-10 16:59:50,28.9383,53.6482,65.44,34,56,4.61,broken clouds
47,Ocos,GT,2022-03-10 16:59:51,14.5094,-92.1933,83.82,59,80,4.83,broken clouds
48,Hilo,US,2022-03-10 16:57:01,19.7297,-155.09,71.62,85,2,3.0,clear sky
49,Cherskiy,RU,2022-03-10 16:59:51,68.75,161.3,10.33,73,95,9.31,overcast clouds
50,Kaitangata,NZ,2022-03-10 16:50:57,-46.2817,169.8464,53.13,96,60,3.2,broken clouds
51,Launceston,AU,2022-03-10 16:59:52,-41.45,147.1667,50.61,82,100,8.05,overcast clouds
52,Klaksvik,FO,2022-03-10 16:59:53,62.2266,-6.589,41.92,91,100,23.51,overcast clouds
53,Fort Nelson,CA,2022-03-10 16:59:53,58.8053,-122.7002,0.99,66,75,0.0,broken clouds
54,Jamestown,US,2022-03-10 16:50:29,42.097,-79.2353,41.02,42,100,5.99,overcast clouds
55,Wieliczka,PL,2022-03-10 16:59:54,49.9874,20.0647,29.95,59,23,5.61,few clouds
56,Muroto,JP,2022-03-10 16:59:54,33.2833,134.15,56.23,61,100,8.03,overcast clouds
57,Puerto Ayora,EC,2022-03-10 16:59:55,-0.7393,-90.3518,84.16,86,51,7.0,broken clouds
58,Punta Arenas,CL,2022-03-10 16:51:04,-53.15,-70.9167,50.11,53,20,9.22,few clouds
